,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code,data_source
78,2015-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,82.0,2.0,,,84.0,,49.0,,,,49.0,1366.0,,,24.0,,,P,05-001-07727
79,2015-02-01,27,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,79.0,3.0,,,82.0,,34.0,,,,34.0,1367.0,,,3.0,,,P,05-001-07727
80,2015-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,76.0,3.0,,,79.0,,50.0,,,,50.0,1372.0,,,7.0,,,P,05-001-07727
81,2014-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,72.0,4.0,,,76.0,,34.0,,,,34.0,1362.0,,,3.0,,,P,05-001-07727
82,2014-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,68.0,4.0,,,72.0,,29.0,,,,29.0,1379.0,,,,,,,05-001-07727
83,2014-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,66.0,2.0,,,68.0,,14.0,,,,14.0,1343.0,,,9.0,,,P,05-001-07727
84,2014-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,62.0,4.0,,,66.0,,39.0,,,,39.0,1365.0,,,2.0,,,P,05-001-07727
85,2014-08-01,18,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,77.0,5.0,9.0,-11.0,62.0,49.1,29.0,,,,29.0,1367.0,,,30.0,,,P,05-001-07727
86,2014-07-01,18,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,67.0,10.0,,,77.0,,18.0,,,,18.0,1360.0,,,20.0,,,P,05-001-07727
87,2014-06-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,119.0,9.0,61.0,,67.0,45.1,53.0,,,,53.0,1370.0,,,9.0,,,P,05-001-07727
88,2014-05-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,121.0,12.0,,-14.0,119.0,,59.0,,,,59.0,1365.0,,,17.0,,,P,05-001-07727
89,2014-04-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,92.0,29.0,,,121.0,,136.0,,,,136.0,1371.0,,,20.0,,,P,05-001-07727
90,2014-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,78.0,14.0,,,92.0,,47.0,,,,47.0,1365.0,,,9.0,,,P,05-001-07727
91,2014-02-01,28,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,78.0,,,,78.0,,1.0,,,,1.0,1331.0,,,,,,,05-001-07727
92,2014-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,110.0,24.0,56.0,,78.0,46.4,94.0,,,,94.0,1365.0,,,11.0,,,P,05-001-07727
93,2013-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,96.0,14.0,,,110.0,,79.0,,,,79.0,1368.0,,,15.0,,,P,05-001-07727
94,2013-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,135.0,8.0,47.0,,96.0,43.3,35.0,,,,35.0,1372.0,,,5.0,,,P,05-001-07727
95,2013-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,92.0,43.0,,,135.0,,49.0,,,,49.0,1356.0,,,3.0,,,P,05-001-07727
96,2013-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,86.0,6.0,,,92.0,,9.0,,,,9.0,1357.0,,,,,,,05-001-07727
97,2013-08-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,75.0,11.0,,,86.0,,18.0,,,,18.0,1358.0,,,64.0,,,P,05-001-07727
98,2013-07-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,116.0,9.0,50.0,,75.0,43.7,208.0,,,,208.0,1356.0,,,15.0,,,P,05-001-07727
99,2013-06-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,108.0,8.0,,,116.0,,117.0,,,,117.0,1352.0,,,22.0,,,P,05-001-07727
100,2013-05-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,90.0,18.0,,,108.0,,99.0,,,,99.0,1344.0,,,24.0,,,P,05-001-07727
101,2013-04-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,73.0,17.0,,,90.0,,158.0,,,,158.0,1349.0,,,24.0,,,P,05-001-07727
102,2013-03-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,98.0,26.0,51.0,,73.0,43.0,148.0,,,,148.0,1358.0,,,10.0,,,P,05-001-07727
103,2013-02-01,28,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,89.0,9.0,,,98.0,,60.0,,,,60.0,1354.0,,,53.0,,,P,05-001-07727
104,2013-01-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,66.0,23.0,,,89.0,,147.0,,,,147.0,1345.0,,,,,,,05-001-07727
105,2012-12-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,125.0,31.0,119.0,,37.0,43.4,217.0,,,,217.0,1324.0,,,7.0,,,P,05-001-07727
106,2012-11-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,58.0,67.0,,,125.0,,237.0,,,,237.0,1327.0,,,27.0,,,P,05-001-07727
107,2012-10-01,31,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,146.0,29.0,117.0,,58.0,44.4,34.0,,,,34.0,1351.0,,,6.0,,,P,05-001-07727
108,2012-09-01,30,PR,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,17.0,,,146.0,,343.0,,,,343.0,1344.0,,,57.0,,,P,05-001-07727
109,2012-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
110,2012-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
111,2012-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
112,2012-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
113,2012-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
114,2012-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
115,2012-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
116,2012-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
117,2011-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
118,2011-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
119,2011-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
120,2011-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
121,2011-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
122,2011-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
123,2011-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
124,2011-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
125,2011-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
126,2011-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
127,2011-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
128,2011-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
129,2010-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
130,2010-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
131,2010-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
132,2010-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
133,2010-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
134,2010-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
135,2010-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
136,2010-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
137,2010-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
138,2010-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
139,2010-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
140,2010-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
141,2009-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
142,2009-11-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
143,2009-10-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
144,2009-09-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
145,2009-08-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
146,2009-07-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
147,2009-06-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
148,2009-05-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
149,2009-04-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
150,2009-03-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
151,2009-02-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
152,2009-01-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
153,2008-12-01,0,SI,FOUNDATION ENERGY MANAGEMENT LLC,1,7727,0,J SAND,129.0,,,,129.0,,,,,,,,,,,,,,05-001-07727
